,loss
0,0.10466857254505157
1,0.04827786982059479
2,0.0164134930819273
3,0.005610156804323196
4,0.0026031932793557644
5,0.0014995973324403167
6,0.0010248516919091344
7,0.0007759963627904654
8,0.0006258695502765477
9,0.0005262005142867565
10,0.00045565736945718527
11,0.00040367714245803654
12,0.0003644227981567383
13,0.00033422562410123646
14,0.0003104414790868759
15,0.000291086093056947
16,0.0002747795660980046
17,0.0002606224734336138
18,0.0002480324765201658
19,0.00023662524472456425
20,0.00022616043861489743
21,0.00021648906113114208
22,0.00020749372197315097
23,0.000199068381334655
24,0.00019114409224130213
25,0.00018368456221651286
26,0.00017666883650235832
27,0.00017008630675263703
28,0.0001639311230974272
29,0.00015820444968994707
30,0.00015292910393327475
31,0.00014816994371358305
32,0.00014408341667149216
33,0.0001419808977516368
34,0.00015624331717845052
35,0.00020636180124711245
36,0.00014155892131384462
37,0.0001262134755961597
38,0.00012101659376639873
39,0.00011797493061749265
40,0.00011499396350700408
41,0.00011230793461436406
42,0.00010978487989632413
43,0.00010779180593090132
44,0.00011029074812540784
45,0.00014117214595898986
46,0.00016453325224574655
47,0.0001117038045777008
48,9.785090514924377e-05
49,9.471068187849596e-05
50,9.292776667280123e-05
51,9.142830822383985e-05
52,9.137886809185147e-05
53,9.741712710820138e-05
54,0.00011692559928633273
55,0.00011554060620255768
56,8.925882866606116e-05
57,8.184287435142323e-05
58,7.918128540040925e-05
59,7.7777513070032e-05
60,7.807691144989803e-05
61,8.403153333347291e-05
62,9.43441700655967e-05
63,8.225820783991367e-05
64,7.457628089468926e-05
65,9.127867087954655e-05
66,0.00013990204024594277
67,7.863049540901557e-05
68,6.459223368437961e-05
69,6.211177242221311e-05
70,6.055866469978355e-05
71,5.94823868595995e-05
72,6.012073208694346e-05
73,6.988412496866658e-05
74,9.02598985703662e-05
75,8.026800060179085e-05
76,7.589947927044705e-05
77,6.031502562109381e-05
78,5.2751394832739606e-05
79,5.1957787945866585e-05
80,5.173883255338296e-05
81,5.316980241332203e-05
82,7.006535452092066e-05
83,0.00011799187632277608
84,6.740701064700261e-05
85,6.310198659775779e-05
86,5.168129791854881e-05
87,4.602456101565622e-05
88,4.435506707523018e-05
89,4.412344787851907e-05
90,4.5957829570397735e-05
91,5.409839650383219e-05
92,7.375160930678248e-05
93,7.645063305972144e-05
94,4.904769957647659e-05
95,4.134605114813894e-05
96,3.9875587390270084e-05
97,3.9354261389235035e-05
98,3.9700673369225115e-05
99,4.300159343983978e-05
100,5.558185148402117e-05
101,9.767966548679397e-05
102,9.034085087478161e-05
103,6.568527896888554e-05
104,4.1012230212800205e-05
105,3.789332549786195e-05
106,3.595730595407076e-05
107,3.554403519956395e-05
108,3.674346589832567e-05
109,4.32163396908436e-05
110,5.6488152040401474e-05
111,6.606197712244466e-05
112,8.254096610471606e-05
113,3.937352084903978e-05
114,3.410346471355297e-05
115,3.2186362659558654e-05
116,3.155200101900846e-05
117,3.1162562663666904e-05
118,3.125169678241946e-05
119,3.259660297771916e-05
120,3.943673800677061e-05
121,5.5659842473687604e-05
122,5.7759742048801854e-05
123,6.384692096617073e-05
124,4.533192259259522e-05
125,4.433792128111236e-05
126,4.3248604924883693e-05
127,3.7091456761118025e-05
128,3.1628322176402435e-05
129,3.028180253750179e-05
130,3.028399805771187e-05
131,3.0622384656453505e-05
132,3.180986095685512e-05
133,3.924408520106226e-05
134,7.242565334308892e-05
135,0.00010027756070485339
136,5.254438292467967e-05
137,3.200415085302666e-05
138,2.7585381758399308e-05
139,2.6364090444985777e-05
140,2.5921210180968046e-05
141,2.5712750357342884e-05
142,2.5943427317542955e-05
143,2.702507481444627e-05
144,3.078868394368328e-05
145,4.46234225819353e-05
146,5.5136752052931115e-05
147,3.230287256883457e-05
148,3.195157114532776e-05
149,3.545501022017561e-05
150,4.4503667595563456e-05
151,6.29612768534571e-05
152,4.435720984474756e-05
153,3.7036104913568124e-05
154,3.962131086154841e-05
155,3.879197174683213e-05
156,3.2006042602006346e-05
157,2.668776869541034e-05
158,2.4294831746374257e-05
159,2.394324474153109e-05
160,2.5959776394302025e-05
161,3.332133564981632e-05
162,4.4095326302340254e-05
163,4.074873504578136e-05
164,3.7278503441484645e-05
165,5.47601084690541e-05
166,5.5582560889888555e-05
167,3.670344449346885e-05
168,2.3796910681994632e-05
169,2.1403566279332153e-05
170,2.1350686438381672e-05
171,2.1839912733412348e-05
172,2.2395695850718766e-05
173,2.3295335267903283e-05
174,2.6077143047587015e-05
175,3.58327197318431e-05
176,4.8331137804780155e-05
177,4.906775939161889e-05
178,5.0653587095439434e-05
179,4.511572842602618e-05
180,3.836449468508363e-05
181,2.8361431759549305e-05
182,2.108235094055999e-05
183,1.98924753931351e-05
184,2.0329625840531662e-05
185,2.1489868231583387e-05
186,2.3488697479479015e-05
187,2.7561902243178338e-05
188,3.5650216887006536e-05
189,4.5680804760195315e-05
190,5.996635081828572e-05
191,6.398127152351663e-05
192,4.202880882075988e-05
193,2.4383039999520406e-05
194,1.9858845917042345e-05
195,1.9208708181395195e-05
196,1.9293069271952845e-05
197,1.9647735825856216e-05
198,2.0303823475842364e-05
199,2.1432957510114647e-05
200,1.8876347894547507e-05
201,1.9408107618801296e-05
202,1.9792922103079036e-05
203,1.9675841031130403e-05
204,1.9498520487104543e-05
205,1.9339462596690282e-05
206,1.920195973070804e-05
207,1.9062417777604423e-05
208,1.8924138203146867e-05
209,1.8787413864629343e-05
210,1.865241938503459e-05
211,1.851964225352276e-05
212,1.8389509932603687e-05
213,1.826239167712629e-05
214,1.8138334780815057e-05
215,1.80175993591547e-05
216,1.7900105376611464e-05
217,1.778598925739061e-05
218,1.7675078197498806e-05
219,1.756742858560756e-05
220,1.7463027688791044e-05
221,1.736174635880161e-05
222,1.726374466670677e-05
223,1.7168869817396626e-05
224,1.7077525626518764e-05
225,1.6989799405564554e-05
226,1.690623685135506e-05
227,1.682745096331928e-05
228,1.6754302123445086e-05
229,1.6688079995219596e-05
230,1.6630259779049084e-05
231,1.6582933312747627e-05
232,1.654869811318349e-05
233,1.6530533684999682e-05
234,1.6531996152480133e-05
235,1.6556143236812204e-05
236,1.6605401469860226e-05
237,1.667897231527604e-05
238,1.6772286471677944e-05
239,1.687649819359649e-05
240,1.698233791103121e-05
241,1.7083117199945264e-05
242,1.7176455003209412e-05
243,1.7262336768908426e-05
244,1.7342905266559683e-05
245,1.7423088138457388e-05
246,1.751716081344057e-05
247,1.765816159604583e-05
248,1.7914448108058423e-05
249,1.8386794181424193e-05
250,1.9090515706920996e-05
251,1.9600191080826335e-05
252,1.9078484911005944e-05
253,1.7592075892025605e-05
254,1.6368092474294826e-05
255,1.6315032553393394e-05
256,1.7700282114674337e-05
257,1.995309503399767e-05
258,2.3213495296658948e-05
259,3.5234828828834e-05
260,3.5344233765499666e-05
261,2.153800414816942e-05
262,1.753141805238556e-05
263,1.6459685866720974e-05
264,1.5600249753333628e-05
265,1.5701045413152315e-05
266,1.5805322618689388e-05
267,1.6017951566027477e-05
268,1.6030373444664292e-05
269,1.5839419575058855e-05
270,1.5869887647568248e-05
271,1.681620233284775e-05
272,1.895680725283455e-05
273,2.298314757354092e-05
274,3.4086253435816616e-05
275,3.0037615943001583e-05
276,2.2784675820730627e-05
277,1.9716588212759234e-05
278,1.546233761473559e-05
279,1.4248556908569299e-05
